CollegeName,CollegeUrl,CollegeLocation,Course1,Course1Fees,Course2,Course2Fees,CollegeRanking,CollegeRating
KLE University,https://zollege.in/university/184935-kle-university-belgaum,"Belgaum, Karnataka | MCI, UGC Accredited",B.Sc (Medicine),₹ 71 K,M.Sc (Medicine),₹ 71 K,NIRFranking 128 out of 201 in 2023,9.3/10 (1 Reviews)
Asutosh College,https://zollege.in/college/159646-asutosh-college-kolkata,"Kolkata, West Bengal | AICTE, UGC, DOEACC Accredited",B.Sc,₹ 7.25 K,,,,7.5/10 (27 Reviews)
"G D Goenka University, School of Law - [SOL]",https://zollege.in/college/216507-g-d-goenka-university-school-of-law-sol-gurgaon,"Gurgaon, Haryana | BCI Accredited",LLB,₹ 2.55 Lakhs,LLM,₹ 1.65 Lakhs,ranking 24 out of 30 in 2023,
Andhra University - [AU],https://zollege.in/university/184667-andhra-university-au-visakhapatnam,"Visakhapatnam, Andhra Pradesh | AICTE, UGC Accredited",BE/B.Tech,₹ 3.45 Lakhs,ME/M.Tech,₹ 1.09 Lakhs,NIRFranking 43 out of 201 in 2023,8.2/10 (6 Reviews)
Cochin University of Science and Technology - [CUSAT],https://zollege.in/university/184959-cochin-university-of-science-and-technology-cusat-kochi,"Kochi, Kerala | AICTE, UGC Accredited",BE/B.Tech,₹ 46.6 K,ME/M.Tech,₹ 19.29 K,NIRFranking 37 out of 201 in 2023,7.3/10 (12 Reviews)
Yerala Medical Trust & Research Centre's Dental College & Hospital,https://zollege.in/college/222576-yerala-medical-trust-and-research-centres-dental-college-and-hospital-mumbai,"Mumbai, Maharashtra | MCI Accredited",BDS,₹ 3.67 Lakhs,,,IIRFranking 58 out of 60 in 2023,
"Faculty of Pharmacy, M. S. Ramaiah University of Applied Sciences",https://zollege.in/college/168971-faculty-of-pharmacy-m-s-ramaiah-university-of-applied-sciences-bangalore,"Bangalore, Karnataka | AICTE, PCI Accredited",B.Pharm,₹ 2.02 Lakhs,M.Pharm,₹ 1.87 Lakhs,,
"Centre for Distance and Online Education, AMU",https://zollege.in/college/214454-centre-for-distance-and-online-education-amu-aligarh,"Aligarh, Uttar Pradesh",MBA/PGDM,₹ 8.3 K,PG Diploma in Management,₹ 8.3 K,,
Uttarakhand Technical University,https://zollege.in/university/185320-uttarakhand-technical-university-dehradun,"Dehradun, Uttarakhand | AICTE, UGC Accredited",BE/B.Tech,₹ 1.02 Lakhs,,,,5/10 (1 Reviews)
Indian Institute of Science Education and Research - [IISER],https://zollege.in/college/168828-indian-institute-of-science-education-and-research-iiser-kolkata,"Kolkata, West Bengal | MHRD Accredited",B.Sc,₹ 72.2 K,M.Sc,₹ 48.5 K,NIRFranking 43 out of 200 in 2023,7.7/10 (5 Reviews)
